code,name,tmin,tmax,pmin,pmax
SWZ,Swaziland,15.5,27.3,2.0,2.4
TON,Tonga,22.5,28.0,1.3,1.7
CIV,Cote d'Ivoire,21.1,31.6,1.8,2.4
KOR,Korea Rep.,6.5,16.5,1.8,2.3
CAF,Central African Republic,18.3,31.5,2.1,2.4
SVK,Slovak Republic,2.1,11.5,2.0,2.9
CYP,Cyprus,13.1,23.8,1.7,2.3
BIH,Bosnia and Herzegovina,5.0,14.7,1.9,3.0
SGP,Singapore,22.6,30.3,1.5,1.8
AZE,Azerbaijan,6.7,17.2,1.9,3.1
UZB,Uzbekistan,5.8,18.3,2.0,3.0
ERI,Eritrea,18.9,32.1,2.1,2.7
POL,Poland,3.8,11.9,1.9,2.8
KWT,Kuwait,18.5,32.2,2.2,3.1
TGO,Togo,21.8,32.5,1.9,2.5
EST,Estonia,1.5,8.7,2.2,3.2
MWI,Malawi,16.6,27.2,2.0,2.5
ESP,Spain,7.9,18.7,1.5,2.6
IRQ,Iraq,14.1,28.7,2.3,3.2
SLV,El Salvador,18.4,30.5,1.7,2.9
MLI,Mali,20.9,35.6,2.5,3.1
LVA,Latvia,1.9,9.3,2.1,3.1
MLT,Malta,15.2,23.2,1.7,2.1
SLE,Sierra Leone,21.0,31.1,1.8,2.3
PAN,Panama,21.3,29.5,1.6,2.2
BHS,Bahamas The,19.8,29.9,1.4,1.7
SLB,Solomon Islands,21.7,29.6,1.4,1.7
NZL,New Zealand,6.0,15.1,1.1,1.7
MCO,Monaco,10.1,17.0,1.8,2.7
ITA,Italy,9.5,17.4,1.8,2.6
JPN,Japan,7.0,15.3,1.8,2.3
KGZ,Kyrgyz Republic,-4.6,7.7,2.3,3.2
ARM,Armenia,1.3,13.0,2.1,3.3
NCL,New Caledonia,19.1,25.2,1.4,1.7
ARE,United Arab Emirates,21.0,33.0,2.2,2.8
ARG,Argentina,8.2,21.4,1.4,2.1
SDN,Sudan,19.4,34.4,2.1,2.6
BHR,Bahrain,20.5,33.8,2.1,3.0
UGA,Uganda,16.6,29.0,2.1,2.3
PNG,Papua New Guinea,20.1,30.4,1.4,1.8
CUB,Cuba,20.4,30.0,1.4,1.8
