id,N,EN,Co,Cu
238,558,E558,1,302
239,559,E559,1,303
240,570,E570,1,304
241,574,E574,1,305
242,575,E575,1,306
243,576,E576,1,307
244,577,E577,1,308
245,578,E578,1,309
246,579,E579,1,310
247,580,E580,1,311
248,585,E585,1,312
249,586,E586,1,313
250,620,E620,1,314
251,621,E621,1,315
252,622,E622,1,316
253,623,E623,1,317
254,624,E624,1,318
255,625,E625,1,319
256,626,E626,1,320
257,627,E627,1,321
258,628,E628,1,322
259,629,E629,1,323
260,630,E630,1,324
261,631,E631,1,325
262,632,E632,1,326
263,633,E633,1,327
264,634,E634,1,328
265,635,E635,1,329
266,636,E636,1,330
267,637,E637,1,331
268,640,E640,1,332
269,650,E650,1,333
270,900,E900,2,335
271,901,E901,1,336
272,902,E902,1,337
273,903,E903,1,338
274,904,E904,1,339
275,905,E905,4,343
276,907,E907,1,344
277,912,E912,1,345
278,914,E914,1,346
279,920,E920,1,347
280,925,E925,1,348
281,926,E926,1,349
282,927,E927,2,351
283,928,E928,1,352
284,938,E938,1,353
285,939,E939,1,354
286,941,E941,1,355
287,942,E942,1,356
288,943,E943,2,358
289,944,E944,1,359
290,948,E948,1,360
291,949,E949,1,361
292,950,E950,1,362
293,951,E951,1,363
294,952,E952,1,364
295,953,E953,1,365
296,954,E954,1,366
297,955,E955,1,367
298,956,E956,1,368
299,957,E957,1,369
300,959,E959,1,370
301,960,E960,1,371
302,961,E961,1,372
303,962,E962,1,373
304,964,E964,1,374
305,965,E965,3,377
306,966,E966,1,378
307,967,E967,1,379
308,968,E968,1,380
309,999,E999,1,381
310,1001,E1001,1,382
311,1100,E1100,1,383
312,1101,E1101,3,386
313,1102,E1102,1,387
314,1103,E1103,1,388
315,1104,E1104,1,389
316,1105,E1105,1,390
317,1200,E1200,1,391
318,1201,E1201,1,392
319,1202,E1202,1,393
320,1203,E1203,1,394
321,1204,E1204,1,395
322,1205,E1205,1,396
323,1400,E1400,1,397
324,1401,E1401,1,398
325,1402,E1402,1,399
326,1403,E1403,1,400
327,1404,E1404,1,401
328,1405,E1405,1,402
329,1410,E1410,1,403
330,1412,E1412,1,404
331,1413,E1413,1,405
332,1414,E1414,1,406
333,1420,E1420,1,407
334,1422,E1422,1,408
335,1440,E1440,1,409
336,1442,E1442,1,410
337,1450,E1450,1,411
338,1451,E1451,1,412
339,1452,E1452,1,413
340,1503,E1503,1,414
341,1505,E1505,1,415
342,1517,E1517,1,416
343,1518,E1518,1,417
344,1519,E1519,1,418
345,1520,E1520,1,419
346,1521,E1521,1,420
